language_model	guidelines_type	role_type	dataset	lang	strict_P_micro	strict_R_micro	strict_F1_micro	fuzzy_P_micro	fuzzy_R_micro	fuzzy_F1_micro
Llama-2-70b-chat-hf	guidelines	no_role	AJMC	de	0.2924	0.1309	0.1808	0.4795	0.2147	0.2966
Llama-2-70b-chat-hf	guidelines	no_role	AJMC	en	0.2176	0.1063	0.1429	0.5176	0.2529	0.3398
Llama-2-70b-chat-hf	guidelines	no_role	AJMC	fr	0.4872	0.2111	0.2946	0.6218	0.2694	0.3760
Llama-2-70b-chat-hf	guidelines	no_role	HIPE	de	0.2134	0.3618	0.2684	0.2848	0.4830	0.3583
Llama-2-70b-chat-hf	guidelines	no_role	HIPE	en	0.2115	0.3274	0.2570	0.3209	0.4967	0.3899
Llama-2-70b-chat-hf	guidelines	no_role	HIPE	fr	0.3127	0.3719	0.3397	0.4193	0.4988	0.4556
Llama-2-70b-chat-hf	guidelines	no_role	NewsEye	de	0.1262	0.2960	0.1770	0.1773	0.4159	0.2487
Llama-2-70b-chat-hf	guidelines	no_role	NewsEye	fr	0.3174	0.2958	0.3062	0.4471	0.4168	0.4314
Llama-2-70b-chat-hf	guidelines	role	AJMC	de	0.2963	0.1257	0.1765	0.4691	0.1990	0.2794
Llama-2-70b-chat-hf	guidelines	role	AJMC	en	0.1677	0.0805	0.1087	0.4431	0.2126	0.2874
Llama-2-70b-chat-hf	guidelines	role	AJMC	fr	0.4156	0.1778	0.2490	0.5260	0.2250	0.3152
Llama-2-70b-chat-hf	guidelines	role	HIPE	de	0.2035	0.2650	0.2302	0.2825	0.3679	0.3196
Llama-2-70b-chat-hf	guidelines	role	HIPE	en	0.2000	0.2116	0.2056	0.3200	0.3385	0.3290
Llama-2-70b-chat-hf	guidelines	role	HIPE	fr	0.2566	0.2556	0.2561	0.3645	0.3631	0.3638
Llama-2-70b-chat-hf	guidelines	role	Newseye	de	0.0897	0.2123	0.1261	0.1321	0.3127	0.1857
