Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_guidelines_norole-2024-01-03_15:47:16.tsv...
ſtatt XXX <WORK>statt
der XXX <WORK>Gegenſatz
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_en_HIPE-2022-v2.1-ajmc-test-en.txt-ajmc_guidelines_norole-2024-01-03_13:48:44.tsv...
< XXX <SCOPE>’
. XXX <SCOPE>p
this XXX <PERS>ancient
------

Preprocessing Llama-2-70b-chat-hf-AJMC(data)_HIPE-2022-v2.1-ajmc-test-fr.tsv-ajmc_guidelines_norole-2023-11-16_18:17:05.tsv...
------

Preprocessing Llama-2-70b-chat-hf-datasets_HIPE_de_HIPE-2022-v2.1-hipe2020-test-de.tsv-hipe_guidelines_norole-2024-01-04_00:26:51.tsv...
Bärlocher XXX <pers>Wirth
( XXX (<HumanProd>Englische
16,437 XXX <PERS>16.437
¬ XXX <org>radikaleren
¬ XXX <org>Staatlich-volkswirtschaftlichen
¬ XXX <loc>Millionen
¬ XXX <time>Defizit
¬ XXX <org>Züricher
Havas XXX <time>3
( XXX (<org>soz.
franzésisehe XXX <org>französische
¬ XXX <org>amerikanische
> XXX <org>kommen
und XXX <pers>
cc XXX <time>vor
l XXX <loc>^
tem XXX <org>internationalen
helligen XXX <org>hellen
» XXX <HumanProd>Ziösen
vnn XXX <time>vn
Die XXX <org>Italienischen
» XXX <org>190
" XXX <pers>der
parlamentarisehe XXX <org>parlamentarische
------

Preprocessing Llama-2-70b-chat-hf-datasets_HIPE_en_HIPE-2022-v2.1-hipe2020-test-en.tsv-hipe_guidelines_norole-2024-01-04_00:26:37.tsv...
obotlt XXX <loc>400
¬ XXX <loc>Palace
- XXX <org>philosophy
ELIXIR XXX <PRODUCTION>LEE’S
ELIXIR XXX <PRODUCTION>LEE’S
on XXX <loc>powerful
' XXX <org>egisla
re XXX <org>pecuniary
, XXX <pers>A.
^ XXX <contract>
haads XXX <PERSON>capable
en XXX <loc>animal
' XXX <pers>Dick
" XXX <HumanProd>Flora
" XXX <HumanProd>Married
------

Preprocessing Llama-2-70b-chat-hf-datasets_HIPE_HIPE-2022-v2.1-hipe2020-test-fr.tsv-hipe_guidelines_norole-2023-11-20_11:20:39.tsv...
bonnesi XXX <attr>bonnes
" XXX <loc>bureau
\ XXX <LOC>i
ville XXX <BUILDING>hôtel-dê
" XXX <org>Quaire
_ XXX <org>coliers
" XXX <loc>une
ï XXX <time>3
AlAL XXX <org>ALAL
dire XXX <time>dite
recettedeFontaine XXX <loc>recette
_ XXX <PERSON>Gilbas
coq XXX <loc>Inde
sir XXX l'<org>Elat
_ XXX <loc>précédemment
l XXX l'<loc>enceinte
_ XXX <org>un
_ XXX <org>Tbu
gOii XXX <org>gouvernement
commiffion XXX <org>commission
lant XXX l'<pers>ant
trois XXX <org>le
soldais XXX <pers>soldats
clearing XXX <loc>italo
' XXX '<PERS>
" XXX <time>janvier
" XXX <time>janvier
la XXX <pers>Henri
_ XXX <pers>le
_ XXX <org>apprissent
------

Preprocessing Llama-2-70b-chat-hf-datasets_Newseye_de_HIPE-2022-v2.1-newseye-test-de.tsv-newseye_guidelines_norole-2024-01-17_12:07:27.tsv...
" XXX <ORG>Egerer
Noch XXX <PER>Michel
. XXX <LOC>200
. XXX <LOC>200
. XXX <LOC>200
. XXX <LOC>200
. XXX <ORG>200
. XXX <ORG>20
, XXX <PER>Josef
die XXX <PER>Lesen
„ XXX <ORG>Arbeiterinnen
Neapel XXX <LOC>12
( XXX (<ORG>Vereins=
. XXX <LOC>Rio
Alles XXX <ORG>100
. XXX <ORG>Rente
f XXX <ORG>100
) XXX <ORG>Andere
. XXX <LOC>100
detto XXX <PER>ditto
, XXX <ORG>Allg
„ XXX <PER>Herr
. XXX <PER>die
, XXX <PER>die
Salzburg¬ XXX <LOC>Salzburg-Innere
Die XXX <ORG>Agence
der XXX <PER>Andra
* XXX <ORG>Die
* XXX <PER>Johann
“ XXX <ORG>Die
* XXX <PER>F
* XXX <ORG>Humanität
Untersuchungs= XXX <LOC>Untersuchungs-
. XXX <LOC>Richard
Private XXX <PER>Franz
berg XXX <LOC>,
Venedig XXX <LOC>
„ XXX <LOC>Das
( XXX (<HumanProd>Autorisierte
. XXX <PER>Roman
. XXX <PER>Karl
. XXX <LOC>18
. XXX <PER>Roman
. XXX <LOC>18
“ XXX <HumanProd>Büchereinlauf
Universitätsdozent XXX <PER>Dr
Am XXX <PER>Franz
Einleitende XXX <PER>Dr
“ XXX <HumanProd>Oper
„ XXX <ORG>Allg
. XXX <ORG>2
. XXX <ORG>20
. XXX <LOC>1
. XXX <ORG>1
. XXX <ORG>1
. XXX <LOC>2
. XXX <LOC>3
. XXX <ORG>2
. XXX <ORG>3
Verantwortlicher XXX <PER>G
Organisation XXX <ORGANISATION>
Für XXX <PER>Frau
B XXX <ORG>Geschäftsstelle
„ XXX <LOC>Innsbrucker
langjähriger XXX <PER>Andrä
Restenmuster XXX <ORG>Weberei
Zähne XXX <PER>Dr
„ XXX <PER>Franz
Den XXX <PER>Herr
Da XXX <PER>Freiherr
Schönbrunner¬ XXX <LOC>Schönbrunner-strasse
###f XXX <ORG>Illustrierte
1878 XXX <ORG>Wiener
Anglo=österr XXX <ORG>Anglo-österr
=Verein XXX =<ORG>Verein
' XXX <LOC>Lenerl
„ XXX <PER>Die
. XXX <HumanProd>Wiener
Ein XXX <PER>Dr
, XXX <PER>Ueber¬
Ge¬ XXX <LOC>Gemeinden
Zu XXX <PER>Hermine
Donnertag XXX <PER>Johann
, XXX <LOC>Stahlrohr=
. XXX <LOC>Tel
Während XXX <PER>Paul
„ XXX <PER>Herr
Bul¬ XXX <ORG>Bul###
' XXX <PER>s
b XXX <PER>H
b XXX <PER>E.
Ex=Minister XXX <PER>Ex-Minister
Die XXX <PER>Giovanni
schwung XXX <PER>Schwung
“ XXX <PER>Nun
[Defraudation XXX <DEFRAUDATION>
Post¬ XXX <ORG>Postdirections=Kassen
( XXX (<ORG>Agence
“ XXX <PER>Der
„ XXX <PER>Eurer
„ XXX <PER>der
„ XXX <PER>Lesen
“ XXX <HumanProd>Die
“ XXX <PER>der
“ XXX <PER>sagte
“ XXX <PER>der
Notirungen XXX <LOC>12
. XXX <ORG>Anglo=Deutsche
. XXX <ORG>Wiener
. XXX <ORG>Deutsche
93 XXX <PER>Credit
„ XXX <PER>Der
„ XXX <HumanProd>Das
„ XXX <LOC>Die
Meyerbeer XXX <PER>
„ XXX <PER>Maria
“ XXX <HumanProd>Tranerspiel
, XXX <PER>Hausherr
“ XXX <PER>Sebastian
sein XXX <PER>Weld
sein XXX <PER>Sein
" XXX <HumanProd>English
„ XXX <ORG>Drei
“ XXX <ORG>Oesterreichischer
Requisiten XXX <PER>Frl
hald XXX <TIME>8
Thea¬ XXX <HumanProd>Theater
b XXX <PER>H
b XXX <PER>E.
' XXX <PER>s
“ XXX <ORG>Das
( XXX (<PER>Leb¬
“ XXX <LOC>Heute
[Der XXX [<ORG>Der
[Die XXX [<ORG>Die
[Ein XXX [<PER>Ein
deutsch¬ XXX <ORG>deutsch-nationalen
, XXX <LOC>Waffen
„ XXX <PER>Kennen
" XXX <PER>Der
Kon¬ XXX <HumanProd>Konzerten
„ XXX <PER>Die
“ XXX <PER>Warum
“ XXX <PER>Der
“ XXX <PER>Genaue
“ XXX <PER>Martha
daß XXX <PER>Jake
Gelegen¬ XXX <PER>Harry
“ XXX <PER>der
“ XXX <PER>Die
“ XXX <PER>der
Der XXX <PER>F
( XXX (<ORG>Vereinigte
“ XXX <PER>Dieses
Pro¬ XXX <PER>Professor
------

Preprocessing Llama-2-70b-chat-hf-NewsEye(data)_NewsEye-GT-NER_EL_StD-v1-test-fr.tsv-newseye_guidelines_norole-2023-11-16_18:30:50.tsv...
Le XXX <PER>Mary
, XXX <LOC>Ombres
groupe XXX <ORG>Groupe
MM XXX <PER>Eugène
Le XXX <PER>F
voit XXX <PER>M
